index,year0,year1,mid_year,Arctic,Global,ratio_ERA5
0,1950.0,1979.0,1964.5,0.18232450349146645,0.1276339197052731,1.4284956844738652
1,1951.0,1980.0,1965.5,0.32360583992138037,0.20931908988846767,1.5459929626763071
2,1952.0,1981.0,1966.5,0.5811814611676295,0.3401716773846847,1.7084945626157988
3,1953.0,1982.0,1967.5,0.7263161496687571,0.3817585619193583,1.9025536611859468
4,1954.0,1983.0,1968.5,0.944746059814178,0.4664160426917473,2.025543663468191
5,1955.0,1984.0,1969.5,1.2694071856585318,0.48096702547041753,2.63928111166658
6,1956.0,1985.0,1970.5,1.287756670527488,0.45349955160971134,2.839598552978838
7,1957.0,1986.0,1971.5,1.36540810666874,0.4495024817671567,3.037598594118607
8,1958.0,1987.0,1972.5,1.2584945573673725,0.46243950190879607,2.7214252938443333
9,1959.0,1988.0,1973.5,1.2744557785659956,0.5390876117882497,2.364097691539226
10,1960.0,1989.0,1974.5,1.4232068316010775,0.5894053173277515,2.41464878201917
11,1961.0,1990.0,1975.5,1.7375842547075513,0.6712012646328374,2.58876784992062
12,1962.0,1991.0,1976.5,1.7915386157369837,0.7455792567621435,2.40288151727446
13,1963.0,1992.0,1977.5,1.7508878973173148,0.7389414628700655,2.3694541249814653
14,1964.0,1993.0,1978.5,1.5409436088565138,0.7215366818350682,2.135641399322161
15,1965.0,1994.0,1979.5,1.2856119936860835,0.6396419292562607,2.0098932463369312
16,1966.0,1995.0,1980.5,1.394846399539507,0.6571917035290785,2.1224345834697376
17,1967.0,1996.0,1981.5,1.2582310781181587,0.6464586382580721,1.9463442881799058
18,1968.0,1997.0,1982.5,1.3145069987228317,0.6532315844556071,2.012313902148992
19,1969.0,1998.0,1983.5,1.2170460572149242,0.6571908459912685,1.8518913716444156
20,1970.0,1999.0,1984.5,1.1482976998997199,0.6369824241080333,1.8027148888883104
21,1971.0,2000.0,1985.5,1.1219801077240117,0.6196002451013048,1.8108128855574734
22,1972.0,2001.0,1986.5,1.1291770838342117,0.6157772649779979,1.8337427314315637
23,1973.0,2002.0,1987.5,1.1766572535552062,0.6599592978219851,1.7829239734002402
24,1974.0,2003.0,1988.5,1.2309923022902893,0.6791383939006932,1.8125794585400672
25,1975.0,2004.0,1989.5,1.195936749190992,0.6254426034061744,1.9121446839052756
26,1976.0,2005.0,1990.5,1.3007331763014214,0.6243947052186498,2.0831905931135855
27,1977.0,2006.0,1991.5,1.447135868671868,0.5714663154423828,2.5323205052805484
28,1978.0,2007.0,1992.5,1.5492728019715476,0.5730438362371946,2.7035851430574884
29,1979.0,2008.0,1993.5,1.5268586425481636,0.5070676255942228,3.011153868793866
30,1980.0,2009.0,1994.5,1.5130072528615013,0.5002737716254939,3.0243585386166156
31,1981.0,2010.0,1995.5,1.6504489448133721,0.5598986587747463,2.9477637049982053
32,1982.0,2011.0,1996.5,1.9842806742076398,0.6421134685382833,3.090233691445043
33,1983.0,2012.0,1997.5,2.185635552970578,0.6515950992189758,3.354284824410674
34,1984.0,2013.0,1998.5,2.1623649197207437,0.6807012717106049,3.176672366553264
35,1985.0,2014.0,1999.5,2.3645259213693275,0.6966288907907227,3.3942403948900606
36,1986.0,2015.0,2000.5,2.4481627149994436,0.6917511954058296,3.539079847289863
37,1987.0,2016.0,2001.5,2.720380519120038,0.7548485932016166,3.603875722390645
38,1988.0,2017.0,2002.5,2.618406374293449,0.7734468508350407,3.3853733730592146
39,1989.0,2018.0,2003.5,2.645119282623209,0.8281327573555757,3.1940763834408656
40,1990.0,2019.0,2004.5,2.5743905449902007,0.8470091887390426,3.0393891580122534
41,1991.0,2020.0,2005.5,2.843456204976516,0.9518491930107822,2.987296964535333
42,1992.0,2021.0,2006.5,2.787637219761228,0.9651317284820762,2.8883489553757826
