index,year0,year1,mid_year,Arctic,Global,ratio_HadCRUT4_CW2014
0,1851.0,1880.0,1865.5,-0.04935651475972002,0.11597701346535826,-0.4255715273653133
1,1852.0,1881.0,1866.5,0.018986706286990396,0.16017415647325328,0.1185378884149822
2,1853.0,1882.0,1867.5,-0.00025410585316203334,0.1854272911880521,-0.001370380010051112
3,1854.0,1883.0,1868.5,0.06358182223804351,0.18849400894454918,0.3373148175587262
4,1855.0,1884.0,1869.5,0.05025727568854761,0.1719256561921721,0.29231981311952593
5,1856.0,1885.0,1870.5,-0.03352646710121664,0.16332178610662298,-0.20527859693702602
6,1857.0,1886.0,1871.5,-0.0873784611813164,0.13645571164399292,-0.6403430104067981
7,1858.0,1887.0,1872.5,-0.15637235581757217,0.08301894096334969,-1.8835744470241527
8,1859.0,1888.0,1873.5,-0.17227980587096925,0.07236944934277234,-2.3805598555127756
9,1860.0,1889.0,1874.5,-0.10851300191435102,0.10000311050305863,-1.08509626719093
10,1861.0,1890.0,1875.5,-0.1340742025906609,0.05734188826512606,-2.3381546483219244
11,1862.0,1891.0,1876.5,-0.17792886960734322,0.025210194430978182,-7.057814254248867
12,1863.0,1892.0,1877.5,-0.31694544835373767,-0.04901853167792301,6.465829095743471
13,1864.0,1893.0,1878.5,-0.3285637659043482,-0.07807702903265386,4.20820015790988
14,1865.0,1894.0,1879.5,-0.31294585732425473,-0.11948363589794425,2.6191524468802934
15,1866.0,1895.0,1880.5,-0.30306611667353334,-0.12864618820261584,2.3558110885975783
16,1867.0,1896.0,1881.5,-0.2828686042653091,-0.097596436573752,2.8983497164012744
17,1868.0,1897.0,1882.5,-0.24422924234093812,-0.07989544186229167,3.056860775135249
18,1869.0,1898.0,1883.5,-0.2886697578081235,-0.09060351170033601,3.1860769234075166
19,1870.0,1899.0,1884.5,-0.3003775145378281,-0.07561841314571945,3.9722800577551087
20,1871.0,1900.0,1885.5,-0.2830368975411742,-0.04680168524182777,6.047579186063528
21,1872.0,1901.0,1886.5,-0.290138087346496,-0.03345534475728566,8.672398669074
22,1873.0,1902.0,1887.5,-0.34553630186429646,-0.04110291436729739,8.406613185054699
23,1874.0,1903.0,1888.5,-0.2627215758275817,-0.060320353270969976,4.355438282123261
24,1875.0,1904.0,1889.5,-0.1332869040789787,-0.10478774300890432,1.2719703684013182
25,1876.0,1905.0,1890.5,-0.04449039918798849,-0.11481283185696152,0.3875037177326698
26,1877.0,1906.0,1891.5,0.03180150235874128,-0.11072985005427655,-0.28719900138176935
27,1878.0,1907.0,1892.5,0.11153991748944807,-0.07636469091879412,-1.4606216059730945
28,1879.0,1908.0,1893.5,0.29295270711235954,-0.027283601699107898,
29,1880.0,1909.0,1894.5,0.3191186095439486,-0.036890045982757524,-8.650534339076325
30,1881.0,1910.0,1895.5,0.3559840000011255,-0.044089328141820795,-8.07415342905754
31,1882.0,1911.0,1896.5,0.42589873307230847,-0.03954010407730542,
32,1883.0,1912.0,1897.5,0.37605258455842644,-0.0294802098848708,
33,1884.0,1913.0,1898.5,0.445858770924366,-0.021431070475532676,
34,1885.0,1914.0,1899.5,0.44354776251502004,-0.012559411283095751,
35,1886.0,1915.0,1900.5,0.3762907310411566,0.009537600528918036,
36,1887.0,1916.0,1901.5,0.30969575024025975,-0.01210123646886216,
37,1888.0,1917.0,1902.5,0.1542286108186789,-0.0620763686279202,-2.4844979535306
38,1889.0,1918.0,1903.5,-0.004633714581754134,-0.05422491048664868,0.08545361421841448
39,1890.0,1919.0,1904.5,0.016402960179085126,-0.006622137879313444,-2.4769886218052766
40,1891.0,1920.0,1905.5,0.09145022000666606,-0.0018393868793094865,
41,1892.0,1921.0,1906.5,0.13614065441156695,0.03077097780255801,4.424320061751482
42,1893.0,1922.0,1907.5,0.11644745312124867,0.02226340260678461,5.230442766451259
43,1894.0,1923.0,1908.5,0.2021293426818724,0.02105481056451624,9.600150144429314
44,1895.0,1924.0,1909.5,0.31888843812347367,0.02628444628086732,
45,1896.0,1925.0,1910.5,0.3478084284393741,0.04250839273859846,8.182111955589352
46,1897.0,1926.0,1911.5,0.4953992226930143,0.11867440951001891,4.174440174073004
47,1898.0,1927.0,1912.5,0.6483259758175763,0.17146706806729725,3.7810524383791404
48,1899.0,1928.0,1913.5,0.7471566793537315,0.18207974600167331,4.103458488715517
49,1900.0,1929.0,1914.5,0.7479753124004623,0.18434410994828665,4.0574950434287755
50,1901.0,1930.0,1915.5,0.8802134779610844,0.25337450897275554,3.473962244780238
51,1902.0,1931.0,1916.5,1.0204985033826492,0.32339901514405545,3.1555399231134844
52,1903.0,1932.0,1917.5,0.9911145315962471,0.3511745672552914,2.8222844818820327
53,1904.0,1933.0,1918.5,1.0227896688531963,0.32778391805951335,3.120316807816959
54,1905.0,1934.0,1919.5,1.1898448981957843,0.3186689952986683,3.733795617865547
55,1906.0,1935.0,1920.5,1.2862985248353873,0.33174644403949377,3.877354370925091
56,1907.0,1936.0,1921.5,1.369493192906011,0.36868440895773225,3.7145405654054016
57,1908.0,1937.0,1922.5,1.5823888119460807,0.3992653371168014,3.963251163682079
58,1909.0,1938.0,1923.5,1.7931807589449749,0.41481104764739174,4.322885731021465
59,1910.0,1939.0,1924.5,1.7861214292030232,0.40848995904227225,4.3724977558583955
60,1911.0,1940.0,1925.5,1.8390804748097962,0.4162020431112347,4.418720439385928
61,1912.0,1941.0,1926.5,1.749180850587352,0.4095288253047883,4.271203252385322
62,1913.0,1942.0,1927.5,1.6840005424716342,0.4007196455839826,4.20244068647416
63,1914.0,1943.0,1928.5,1.7471552445061462,0.39994606492993173,4.368477146567845
64,1915.0,1944.0,1929.5,1.8089637226641158,0.4504573289165955,4.015838141683459
65,1916.0,1945.0,1930.5,1.7272231817007957,0.48479756353170655,3.5627719931555153
66,1917.0,1946.0,1931.5,1.5259442570333759,0.4510443932529495,3.3831354072006246
67,1918.0,1947.0,1932.5,1.4361525402302584,0.40523010642625534,3.5440420577231038
68,1919.0,1948.0,1933.5,1.1143225693726344,0.36699862283871343,3.0363126726564063
69,1920.0,1949.0,1934.5,0.8752297483926644,0.32838608690745835,2.665246133400623
70,1921.0,1950.0,1935.5,0.7369131550489549,0.27864234094839685,2.6446560581596157
71,1922.0,1951.0,1936.5,0.5839689990411483,0.2735334597891022,2.1349088315974063
72,1923.0,1952.0,1937.5,0.4234398312202431,0.26190959767319266,1.6167404134177845
73,1924.0,1953.0,1938.5,0.41589775596885253,0.26184689049610727,1.5883242118356775
74,1925.0,1954.0,1939.5,0.42405636253335666,0.22014848647808696,1.9262288345351226
75,1926.0,1955.0,1940.5,0.1520516231607341,0.1697837636263703,0.8955604464944132
76,1927.0,1956.0,1941.5,0.042340419711329284,0.13675750362614097,0.30960216871958157
77,1928.0,1957.0,1942.5,-0.12769675696941749,0.12731238671268158,-1.0030191112323057
78,1929.0,1958.0,1943.5,-0.26011328473473894,0.12398226722412974,-2.097987805502197
79,1930.0,1959.0,1944.5,-0.3392731582508447,0.07478720721890982,-4.536513273690745
80,1931.0,1960.0,1945.5,-0.3537689897703124,0.05778524775372655,-6.122133304299936
81,1932.0,1961.0,1946.5,-0.4689254530250481,0.06642021778781969,-7.059980660151357
82,1933.0,1962.0,1947.5,-0.48059882589046476,0.05829032639960453,-8.244915675986425
83,1934.0,1963.0,1948.5,-0.6916345924877824,0.022667662523076757,
84,1935.0,1964.0,1949.5,-0.8566548268659918,-0.04214716591685781,
85,1936.0,1965.0,1950.5,-0.9899508810272817,-0.09312878007425429,
86,1937.0,1966.0,1951.5,-1.2161981365400516,-0.12280558766640871,9.903442991891817
87,1938.0,1967.0,1952.5,-1.0448631253565073,-0.11505067642525131,9.081764295713265
88,1939.0,1968.0,1953.5,-0.9497173582761027,-0.11909388604282851,7.974526567506292
89,1940.0,1969.0,1954.5,-0.9429665235757557,-0.09938395368820913,9.488116427064915
90,1941.0,1970.0,1955.5,-0.8875642613976708,-0.07524399549265913,
91,1942.0,1971.0,1956.5,-0.9870588507974467,-0.07957062395895464,
92,1943.0,1972.0,1957.5,-1.0288209685342589,-0.07511021443748474,
93,1944.0,1973.0,1958.5,-0.8374683764323662,-0.03796504285316461,
94,1945.0,1974.0,1959.5,-0.7267427321169174,-0.024473303767740023,
95,1946.0,1975.0,1960.5,-0.6477573086635132,-0.022250218937041037,
96,1947.0,1976.0,1961.5,-0.6888926326567159,-0.05756658377752945,
97,1948.0,1977.0,1962.5,-0.4712983623168162,-0.019955105519466575,
98,1949.0,1978.0,1963.5,-0.5077741338344943,-0.01926372635539684,
99,1950.0,1979.0,1964.5,-0.6063321959862206,-0.012393788736434753,
100,1951.0,1980.0,1965.5,-0.5265303179210321,-0.003778344605284433,
101,1952.0,1981.0,1966.5,-0.31523960931635364,0.044635065866242774,-7.0625998460723105
102,1953.0,1982.0,1967.5,-0.35140612282511596,0.06780963575646126,-5.182244660437247
103,1954.0,1983.0,1968.5,-0.166507652796641,0.14109729362375098,-1.1800910458328784
104,1955.0,1984.0,1969.5,0.057759084138374106,0.1387116577758068,0.4163967547106057
105,1956.0,1985.0,1970.5,0.11521774836930776,0.11799477767591499,0.9764648117373921
106,1957.0,1986.0,1971.5,0.1417250579061241,0.0922095421338737,1.5369890645412998
107,1958.0,1987.0,1972.5,0.0667922729935463,0.13520737052953874,0.4939987571088382
108,1959.0,1988.0,1973.5,0.15351447253038045,0.19023503284065968,0.8069726707959397
109,1960.0,1989.0,1974.5,0.30674917621070497,0.2153148777585722,1.4246538808834939
110,1961.0,1990.0,1975.5,0.5123875646574104,0.2656095356948354,1.929100788181429
111,1962.0,1991.0,1976.5,0.6194763494779072,0.32427795243438406,1.9103252158447466
112,1963.0,1992.0,1977.5,0.6654738862616503,0.3364512607750995,1.9779206198501529
113,1964.0,1993.0,1978.5,0.7200506558095618,0.36311090165429477,1.9830047859458018
114,1965.0,1994.0,1979.5,0.6208291893730985,0.34475123601571406,1.8008033750596926
115,1966.0,1995.0,1980.5,0.798160651379306,0.36485743909793095,2.1875959370670053
116,1967.0,1996.0,1981.5,0.7648974470618851,0.3728071736377084,2.051724057770432
117,1968.0,1997.0,1982.5,0.8999046127332779,0.4134033221144686,2.1768199832803963
118,1969.0,1998.0,1983.5,0.9558451991507236,0.46608663992381644,2.050788667332237
119,1970.0,1999.0,1984.5,0.9545931236802219,0.4923946655307374,1.938674787736164
120,1971.0,2000.0,1985.5,1.0170613379249318,0.5058118693300726,2.010750240542968
121,1972.0,2001.0,1986.5,1.1047471231485184,0.5160228633240834,2.140887936693402
122,1973.0,2002.0,1987.5,1.1663406783498704,0.5481694810333357,2.127700863884726
123,1974.0,2003.0,1988.5,1.330227037483342,0.5990966981135403,2.2203878633816783
124,1975.0,2004.0,1989.5,1.2247359792363832,0.5787033461720525,2.116345079629556
125,1976.0,2005.0,1990.5,1.4467891852219508,0.5906031576065495,2.449680748550584
126,1977.0,2006.0,1991.5,1.6051298944048942,0.5605276476728535,2.8636052138889547
127,1978.0,2007.0,1992.5,1.8478277117686495,0.5852420102475069,3.157373666642929
128,1979.0,2008.0,1993.5,1.8784761343270422,0.5546318898838956,3.3868880758376063
129,1980.0,2009.0,1994.5,1.7768144015017282,0.5587461482900923,3.180002952931738
130,1981.0,2010.0,1995.5,1.9727790252837458,0.5936654440350446,3.3230484359593127
131,1982.0,2011.0,1996.5,2.3282923256896906,0.605132393511909,3.84757509373669
